SISTEMA,CIA,PRODUCTO,PRODUCTO_CIA,TARIFA,FEE,P1,P2,P3,P4,P5,P6,P1.,P2.,P3.,P4.,P5.,P6.
PENINSULA,AEQ,FIJO,ARMONIA,3.0TD,6,0.038308,0.0326,0.0109654,0.010011,0.007487,0.005483,0.259565,0.238767,0.210862,0.192579,0.173251,0.170743
PENINSULA,AEQ,FIJO,EQUILIBRIO,3.0TD,6,0.038308,0.0326,0.021238,0.020285,0.017761,0.015757,0.259565,0.238767,0.210862,0.192579,0.173251,0.170743
PENINSULA,AEQ,FIJO,SIMETRIA,3.0TD,6,0.038308,0.0326,0.035622,0.034668,0.032144,0.03014,0.259565,0.238767,0.210862,0.192579,0.173251,0.170743
PENINSULA,AEQ,FIJO,ARMONIA,3.0TD,8,0.038308,0.0326,0.0109654,0.010011,0.007487,0.005483,0.261565,0.240767,0.212862,0.194579,0.175251,0.172743
PENINSULA,AEQ,FIJO,EQUILIBRIO,3.0TD,8,0.038308,0.0326,0.021238,0.020285,0.017761,0.015757,0.261565,0.240767,0.212862,0.194579,0.175251,0.172743
PENINSULA,AEQ,FIJO,SIMETRIA,3.0TD,8,0.038308,0.0326,0.035622,0.034668,0.032144,0.03014,0.261565,0.240767,0.212862,0.194579,0.175251,0.172743
PENINSULA,AEQ,FIJO,ARMONIA,3.0TD,10,0.038308,0.0326,0.0109654,0.010011,0.007487,0.005483,0.263565,0.242767,0.214862,0.196579,0.177251,0.174743
PENINSULA,AEQ,FIJO,EQUILIBRIO,3.0TD,10,0.038308,0.0326,0.021238,0.020285,0.017761,0.015757,0.263565,0.242767,0.214862,0.196579,0.177251,0.174743
PENINSULA,AEQ,FIJO,SIMETRIA,3.0TD,10,0.038308,0.0326,0.035622,0.034668,0.032144,0.03014,0.263565,0.242767,0.214862,0.196579,0.177251,0.174743
PENINSULA,AEQ,FIJO,ARMONIA,3.0TD,15,0.038308,0.0326,0.0109654,0.010011,0.007487,0.005483,0.268565,0.247767,0.219862,0.201579,0.182251,0.179743
PENINSULA,AEQ,FIJO,EQUILIBRIO,3.0TD,15,0.038308,0.0326,0.021238,0.020285,0.017761,0.015757,0.268565,0.247767,0.219862,0.201579,0.182251,0.179743
PENINSULA,AEQ,FIJO,SIMETRIA,3.0TD,15,0.038308,0.0326,0.035622,0.034668,0.032144,0.03014,0.268565,0.247767,0.219862,0.201579,0.182251,0.179743
PENINSULA,AEQ,FIJO,ARMONIA,3.0TD,20,0.038308,0.0326,0.0109654,0.010011,0.007487,0.005483,0.273565,0.252767,0.224862,0.206579,0.187251,0.184743
PENINSULA,AEQ,FIJO,EQUILIBRIO,3.0TD,20,0.038308,0.0326,0.021238,0.020285,0.017761,0.015757,0.273565,0.252767,0.224862,0.206579,0.187251,0.184743
PENINSULA,AEQ,FIJO,SIMETRIA,3.0TD,20,0.038308,0.0326,0.035622,0.034668,0.032144,0.03014,0.273565,0.252767,0.224862,0.206579,0.187251,0.184743
PENINSULA,AEQ,FIJO,ARMONIA,3.0TD,25,0.038308,0.0326,0.0109654,0.010011,0.007487,0.005483,0.278565,0.257767,0.229862,0.211579,0.192251,0.189743
PENINSULA,AEQ,FIJO,EQUILIBRIO,3.0TD,25,0.038308,0.0326,0.021238,0.020285,0.017761,0.015757,0.278565,0.257767,0.229862,0.211579,0.192251,0.189743
PENINSULA,AEQ,FIJO,SIMETRIA,3.0TD,25,0.038308,0.0326,0.035622,0.034668,0.032144,0.03014,0.278565,0.257767,0.229862,0.211579,0.192251,0.189743
